Device_ID,Timestamp,Device_Type,Battery_Level,Signal_Strength_dBm,Latency_ms,Data_Volume_MB,Local_Model_Accuracy,Privacy_Budget_Used,User_Heart_Rate,Location_X,Location_Y
DEV_00015,2025-01-01 00:15:00,Wearable,23.57,-41.9,8.105,138.81,0.7731,2.82,102,717.89,216.63
DEV_00016,2025-01-01 00:16:00,AutonomousVehicle,27.11,-74.6,5.716,3.21,0.8606,2.96,50,927.8,558.82
DEV_00017,2025-01-01 00:17:00,IndustrialController,46.43,-66.1,4.01,52.91,0.833,4.4,70,661.57,954.92
DEV_00018,2025-01-01 00:18:00,AutonomousVehicle,24.06,-46.8,2.498,24.78,0.9495,2.07,74,673.98,976.54
DEV_00019,2025-01-01 00:19:00,SmartSensor,52.59,-63.1,2.442,40.68,0.7893,2.11,97,47.16,195.15
DEV_00020,2025-01-01 00:20:00,IndustrialController,12.65,-62.6,2.394,9.36,0.7347,3.24,79,35.6,780.87
DEV_00021,2025-01-01 00:21:00,SmartSensor,45.74,-53.8,13.163,57.16,0.7278,2.36,84,546.64,190.09
DEV_00022,2025-01-01 00:22:00,IndustrialController,86.41,-57.4,6.064,296.56,0.9499,4.97,63,582.85,136.17
DEV_00023,2025-01-01 00:23:00,Wearable,39.19,-55.6,2.721,317.03,0.737,2.35,77,741.53,372.45
DEV_00024,2025-01-01 00:24:00,IndustrialController,93.31,-66.9,0.662,0.18,0.799,2.94,72,690.83,283.11
DEV_00025,2025-01-01 00:25:00,IndustrialController,97.62,-55.7,2.343,3.78,0.8932,2.34,74,687.92,992.54
DEV_00026,2025-01-01 00:26:00,Wearable,15.9,-41.7,5.387,35.09,0.8376,1.34,49,89.68,647.15
DEV_00027,2025-01-01 00:27:00,SmartSensor,75.13,-64.1,2.612,36.61,0.7782,4.39,72,182.89,207.91
DEV_00028,2025-01-01 00:28:00,IndustrialController,29.14,-49.0,1.118,76.54,0.7585,4.97,80,373.17,739.74
DEV_00029,2025-01-01 00:29:00,AutonomousVehicle,41.03,-38.5,2.955,21.48,0.8416,3.86,51,422.79,133.12
DEV_00030,2025-01-01 00:30:00,IndustrialController,63.63,-73.2,2.458,66.86,0.7935,0.31,64,609.85,66.93
DEV_00031,2025-01-01 00:31:00,IndustrialController,93.74,-69.8,2.921,24.25,0.9457,3.1,95,727.31,379.88
DEV_00032,2025-01-01 00:32:00,IndustrialController,78.19,-56.0,7.591,67.82,0.7783,2.55,56,360.41,397.28
DEV_00033,2025-01-01 00:33:00,IndustrialController,87.72,-69.2,6.431,80.63,0.7794,2.99,86,278.4,264.44
DEV_00034,2025-01-01 00:34:00,Wearable,42.53,-60.3,3.909,1.61,0.7859,2.62,76,148.04,889.95
DEV_00035,2025-01-01 00:35:00,IndustrialController,25.66,-47.2,7.349,36.88,0.8354,2.59,79,309.03,647.63
DEV_00036,2025-01-01 00:36:00,IndustrialController,73.88,-51.4,1.795,55.54,0.803,2.85,67,396.95,108.76
DEV_00037,2025-01-01 00:37:00,Wearable,68.84,-55.3,2.18,60.15,0.9033,0.55,65,853.99,976.91
DEV_00038,2025-01-01 00:38:00,IndustrialController,72.01,-54.7,7.75,8.38,0.9283,1.41,73,634.59,916.41
DEV_00039,2025-01-01 00:39:00,IndustrialController,70.61,-64.6,2.121,0.63,0.7707,0.45,71,393.1,784.07
DEV_00040,2025-01-01 00:40:00,IndustrialController,79.06,-75.4,6.691,43.73,0.8787,4.57,79,0.61,81.27
DEV_00041,2025-01-01 00:41:00,IndustrialController,76.85,-49.9,1.179,87.49,0.815,3.25,75,70.65,717.74
DEV_00042,2025-01-01 00:42:00,SmartSensor,62.5,-48.1,10.024,30.72,0.7469,2.84,80,512.23,49.92
DEV_00043,2025-01-01 00:43:00,SmartSensor,54.63,-51.0,2.174,69.64,0.9243,1.25,71,148.47,854.14
DEV_00044,2025-01-01 00:44:00,Wearable,81.09,-63.4,1.794,9.93,0.8673,2.06,48,373.13,36.63
DEV_00045,2025-01-01 00:45:00,SmartSensor,89.71,-79.6,1.754,57.48,0.9184,1.39,88,715.18,881.02
DEV_00046,2025-01-01 00:46:00,Wearable,43.81,-62.3,5.742,3.31,0.7381,1.24,69,831.66,174.37
DEV_00047,2025-01-01 00:47:00,AutonomousVehicle,83.13,-71.6,2.182,49.95,0.8057,0.39,75,215.17,197.58
DEV_00048,2025-01-01 00:48:00,IndustrialController,22.8,-41.4,1.669,42.01,0.8753,1.12,47,524.36,586.34
DEV_00049,2025-01-01 00:49:00,IndustrialController,87.44,-66.8,1.438,17.67,0.7916,2.08,74,855.76,998.27
DEV_00050,2025-01-01 00:50:00,AutonomousVehicle,39.2,-57.3,4.664,76.25,0.8883,3.8,88,710.16,575.79
DEV_00051,2025-01-01 00:51:00,AutonomousVehicle,75.19,-60.6,8.583,162.63,0.839,0.31,79,599.27,582.65
DEV_00052,2025-01-01 00:52:00,AutonomousVehicle,43.49,-48.9,5.616,113.53,0.9038,3.08,94,759.73,438.12
DEV_00053,2025-01-01 00:53:00,SmartSensor,28.41,-50.0,5.868,37.38,0.8454,3.71,71,261.0,94.94
DEV_00054,2025-01-01 00:54:00,Wearable,31.34,-65.3,5.786,49.52,0.7145,0.29,77,389.79,519.94
DEV_00055,2025-01-01 00:55:00,AutonomousVehicle,54.13,-38.7,2.941,8.64,0.8833,0.97,80,684.07,956.97
DEV_00056,2025-01-01 00:56:00,SmartSensor,63.22,-73.0,4.492,124.69,0.7183,3.9,98,756.72,127.12
DEV_00057,2025-01-01 00:57:00,AutonomousVehicle,42.2,-69.5,1.197,14.92,0.839,3.46,68,672.85,314.64
DEV_00058,2025-01-01 00:58:00,Wearable,23.46,-65.3,7.202,30.19,0.8004,2.69,64,541.62,178.53
DEV_00059,2025-01-01 00:59:00,IndustrialController,85.0,-50.0,2.248,25.45,0.8323,2.04,77,944.25,999.27
DEV_00060,2025-01-01 01:00:00,Wearable,41.72,-56.1,3.632,9.83,0.707,0.44,90,789.15,731.93
DEV_00061,2025-01-01 01:01:00,AutonomousVehicle,15.48,-63.5,5.696,55.77,0.71,1.07,75,551.9,707.77
DEV_00062,2025-01-01 01:02:00,SmartSensor,10.4,-46.9,3.38,34.32,0.8104,1.42,69,783.41,821.07
DEV_00063,2025-01-01 01:03:00,Wearable,26.88,-75.8,1.126,1.44,0.8639,1.88,71,306.61,652.28
DEV_00064,2025-01-01 01:04:00,SmartSensor,29.95,-78.8,0.859,58.62,0.8702,3.43,82,565.14,789.53
DEV_00065,2025-01-01 01:05:00,IndustrialController,97.62,-60.2,5.142,42.21,0.7214,4.18,71,726.77,432.03
DEV_00066,2025-01-01 01:06:00,SmartSensor,14.99,-54.4,1.193,55.58,0.8182,2.53,87,603.53,617.34
DEV_00067,2025-01-01 01:07:00,Wearable,58.03,-44.0,1.06,62.64,0.9369,0.47,86,762.45,806.81
DEV_00068,2025-01-01 01:08:00,IndustrialController,67.96,-75.5,7.685,0.52,0.8485,2.04,73,561.98,339.61
DEV_00069,2025-01-01 01:09:00,SmartSensor,43.82,-49.7,3.668,49.69,0.7101,1.49,80,811.59,52.8
DEV_00070,2025-01-01 01:10:00,IndustrialController,70.21,-48.9,10.331,22.31,0.9226,1.57,85,463.26,538.39
DEV_00071,2025-01-01 01:11:00,Wearable,86.19,-52.5,6.959,5.57,0.8121,3.04,61,486.5,9.68
DEV_00072,2025-01-01 01:12:00,IndustrialController,38.33,-60.9,0.598,39.7,0.7609,2.09,59,962.94,147.07
DEV_00073,2025-01-01 01:13:00,SmartSensor,20.32,-40.2,2.99,0.02,0.836,0.46,68,886.81,416.38
DEV_00074,2025-01-01 01:14:00,AutonomousVehicle,63.27,-63.7,4.776,76.4,0.7908,0.23,65,499.71,856.64
DEV_00075,2025-01-01 01:15:00,SmartSensor,84.83,-61.2,3.912,75.82,0.789,0.19,63,310.85,904.73
DEV_00076,2025-01-01 01:16:00,SmartSensor,16.47,-59.2,1.198,47.55,0.8534,0.45,63,267.9,944.93
DEV_00077,2025-01-01 01:17:00,IndustrialController,69.98,-61.5,3.346,60.42,0.9469,4.79,57,976.35,295.24
DEV_00078,2025-01-01 01:18:00,IndustrialController,44.57,-59.8,5.661,5.74,0.8083,4.19,85,674.2,588.67
DEV_00079,2025-01-01 01:19:00,IndustrialController,71.1,-68.2,0.476,10.6,0.7152,2.72,77,444.04,707.16
DEV_00080,2025-01-01 01:20:00,Wearable,12.18,-61.8,2.774,27.44,0.8767,3.0,94,108.2,751.0
DEV_00081,2025-01-01 01:21:00,AutonomousVehicle,90.37,-67.6,7.096,5.99,0.8133,4.61,76,749.68,948.87
DEV_00082,2025-01-01 01:22:00,IndustrialController,61.97,-79.9,8.214,70.85,0.8853,3.1,82,175.6,161.33
DEV_00083,2025-01-01 01:23:00,SmartSensor,43.97,-53.4,4.528,22.02,0.7945,1.63,87,714.1,961.44
DEV_00084,2025-01-01 01:24:00,SmartSensor,50.11,-70.2,4.228,21.76,0.7634,1.85,68,628.98,738.89
DEV_00085,2025-01-01 01:25:00,Wearable,72.32,-48.6,1.924,88.73,0.7722,1.93,60,301.03,373.26
DEV_00086,2025-01-01 01:26:00,SmartSensor,32.34,-66.3,2.247,103.06,0.8109,4.36,93,945.7,103.17
DEV_00087,2025-01-01 01:27:00,IndustrialController,40.88,-68.7,4.653,85.07,0.9336,0.31,79,254.57,915.86
DEV_00088,2025-01-01 01:28:00,IndustrialController,69.78,-44.2,1.704,56.34,0.7294,0.33,78,588.09,877.14
DEV_00089,2025-01-01 01:29:00,Wearable,62.04,-71.0,2.519,57.08,0.8795,0.53,75,241.03,232.46
DEV_00090,2025-01-01 01:30:00,IndustrialController,61.61,-69.6,3.879,53.42,0.848,2.03,83,674.7,399.75
DEV_00091,2025-01-01 01:31:00,IndustrialController,80.4,-95.5,1.233,6.67,0.785,0.91,87,672.28,161.83
DEV_00092,2025-01-01 01:32:00,IndustrialController,26.57,-43.7,2.89,32.12,0.9031,4.0,55,647.0,890.68
DEV_00093,2025-01-01 01:33:00,SmartSensor,15.83,-54.7,7.131,8.82,0.7423,1.93,68,64.31,889.82
DEV_00094,2025-01-01 01:34:00,SmartSensor,15.25,-55.7,8.549,108.06,0.7114,4.84,72,940.4,692.23
DEV_00095,2025-01-01 01:35:00,Wearable,52.5,-73.1,1.819,24.53,0.8922,2.47,83,626.49,250.18
DEV_00096,2025-01-01 01:36:00,AutonomousVehicle,81.43,-79.5,2.58,38.12,0.851,1.29,66,192.11,31.78
DEV_00097,2025-01-01 01:37:00,IndustrialController,49.93,-62.4,3.869,5.49,0.7796,0.69,67,240.87,790.23
DEV_00098,2025-01-01 01:38:00,IndustrialController,52.66,-62.9,3.295,33.22,0.8496,1.96,85,636.1,425.76
DEV_00099,2025-01-01 01:39:00,SmartSensor,56.7,-64.2,1.197,174.38,0.7624,0.16,77,256.85,229.92
DEV_00100,2025-01-01 01:40:00,AutonomousVehicle,84.38,-50.6,10.878,34.61,0.7076,0.74,67,321.88,508.09
DEV_00101,2025-01-01 01:41:00,SmartSensor,43.97,-37.6,2.53,47.62,0.8292,0.83,34,388.3,341.18
DEV_00102,2025-01-01 01:42:00,IndustrialController,53.36,-73.8,7.294,1.45,0.8203,4.28,75,716.7,579.15
DEV_00103,2025-01-01 01:43:00,SmartSensor,50.14,-65.7,4.678,40.38,0.9224,1.36,79,388.51,422.52
DEV_00104,2025-01-01 01:44:00,Wearable,34.55,-71.4,4.495,48.32,0.873,0.9,70,321.69,177.45
DEV_00105,2025-01-01 01:45:00,SmartSensor,60.61,-52.9,2.587,13.0,0.8982,4.35,64,342.26,170.31
DEV_00106,2025-01-01 01:46:00,SmartSensor,40.41,-73.7,0.913,50.07,0.7488,3.72,91,657.24,148.46
DEV_00107,2025-01-01 01:47:00,AutonomousVehicle,52.51,-70.4,3.616,24.89,0.7781,4.74,56,196.78,6.66
DEV_00108,2025-01-01 01:48:00,Wearable,81.79,-54.4,4.849,3.47,0.7779,3.98,53,467.9,441.7
DEV_00109,2025-01-01 01:49:00,AutonomousVehicle,44.35,-37.7,3.116,78.95,0.9056,1.46,81,264.64,941.03
DEV_00110,2025-01-01 01:50:00,AutonomousVehicle,51.95,-63.9,3.028,10.21,0.8639,0.81,71,546.42,534.18
DEV_00111,2025-01-01 01:51:00,SmartSensor,13.76,-51.4,3.608,94.85,0.9163,4.96,85,443.26,747.7
DEV_00112,2025-01-01 01:52:00,IndustrialController,49.92,-68.4,7.289,9.79,0.7798,4.79,75,867.74,130.36
DEV_00113,2025-01-01 01:53:00,AutonomousVehicle,48.55,-74.7,1.808,106.37,0.8857,3.75,80,373.28,811.2
DEV_00114,2025-01-01 01:54:00,IndustrialController,73.95,-63.7,6.634,14.96,0.7165,1.18,79,736.11,394.8
DEV_00115,2025-01-01 01:55:00,Wearable,49.86,-67.5,5.977,19.42,0.7123,2.47,74,210.85,523.97
DEV_00116,2025-01-01 01:56:00,Wearable,81.23,-54.9,6.012,33.3,0.8071,4.47,78,972.68,695.36
DEV_00117,2025-01-01 01:57:00,SmartSensor,69.53,-66.8,1.768,1.66,0.8165,3.36,73,751.31,366.53
DEV_00118,2025-01-01 01:58:00,SmartSensor,63.51,-68.0,1.033,4.69,0.8916,4.46,70,387.6,998.36
DEV_00119,2025-01-01 01:59:00,Wearable,66.81,-72.0,2.769,34.7,0.7091,4.15,57,328.17,26.1
DEV_00120,2025-01-01 02:00:00,AutonomousVehicle,54.43,-53.8,0.516,45.7,0.7646,0.86,77,963.73,491.59
DEV_00121,2025-01-01 02:01:00,AutonomousVehicle,76.22,-61.9,0.725,18.86,0.8604,4.95,58,64.6,981.68
DEV_00122,2025-01-01 02:02:00,AutonomousVehicle,25.24,-73.8,4.516,0.65,0.8852,3.91,96,343.3,836.91
DEV_00123,2025-01-01 02:03:00,AutonomousVehicle,57.44,-47.7,3.34,2.85,0.705,0.22,72,849.85,397.23
DEV_00124,2025-01-01 02:04:00,IndustrialController,32.02,-55.8,0.658,36.9,0.8659,2.29,87,139.4,377.47
DEV_00125,2025-01-01 02:05:00,IndustrialController,98.34,-48.2,1.516,35.99,0.7469,3.73,85,323.24,696.87
DEV_00126,2025-01-01 02:06:00,Wearable,84.76,-68.5,4.752,69.6,0.9476,3.39,79,306.13,13.51
DEV_00127,2025-01-01 02:07:00,AutonomousVehicle,52.06,-48.4,9.392,12.6,0.8394,1.78,55,610.0,708.03
DEV_00128,2025-01-01 02:08:00,SmartSensor,72.09,-65.4,2.061,81.71,0.7622,0.64,73,208.51,441.65
DEV_00129,2025-01-01 02:09:00,IndustrialController,86.57,-75.8,5.811,46.39,0.9192,0.62,61,217.31,594.08
DEV_00130,2025-01-01 02:10:00,IndustrialController,48.75,-73.2,6.923,17.64,0.7918,2.66,82,563.55,80.41
DEV_00131,2025-01-01 02:11:00,Wearable,76.84,-58.5,4.54,33.88,0.9043,4.08,77,196.67,837.22
DEV_00132,2025-01-01 02:12:00,SmartSensor,35.69,-68.2,8.62,29.81,0.8474,1.23,70,447.4,142.66
DEV_00133,2025-01-01 02:13:00,Wearable,74.59,-67.3,3.435,24.79,0.8881,3.45,77,852.2,877.7
DEV_00134,2025-01-01 02:14:00,IndustrialController,87.62,-61.4,5.963,45.64,0.7451,2.21,74,121.64,113.87
DEV_00135,2025-01-01 02:15:00,IndustrialController,70.56,-65.4,1.051,15.05,0.7142,1.92,80,336.12,256.37
DEV_00136,2025-01-01 02:16:00,AutonomousVehicle,95.16,-80.2,3.854,16.27,0.7428,2.89,86,218.9,216.03
DEV_00137,2025-01-01 02:17:00,SmartSensor,64.79,-42.0,3.038,22.24,0.8874,0.11,93,890.98,479.28
DEV_00138,2025-01-01 02:18:00,AutonomousVehicle,56.54,-56.6,1.228,94.98,0.8905,2.99,73,670.24,272.04
DEV_00139,2025-01-01 02:19:00,SmartSensor,72.5,-53.1,2.284,39.35,0.7436,3.39,74,642.44,517.53
DEV_00140,2025-01-01 02:20:00,Wearable,85.38,-59.8,12.391,44.4,0.8402,1.48,62,527.0,863.65
DEV_00141,2025-01-01 02:21:00,AutonomousVehicle,50.65,-53.0,3.316,211.63,0.8551,3.64,78,931.83,461.85
DEV_00142,2025-01-01 02:22:00,AutonomousVehicle,89.74,-71.3,2.873,113.75,0.8724,4.63,47,696.57,50.99
DEV_00143,2025-01-01 02:23:00,Wearable,60.49,-61.3,6.11,7.49,0.9437,2.24,76,208.09,682.97
DEV_00144,2025-01-01 02:24:00,SmartSensor,36.4,-44.2,3.494,5.97,0.8899,3.49,79,993.24,90.11
DEV_00145,2025-01-01 02:25:00,SmartSensor,88.59,-72.3,0.959,84.47,0.854,2.7,71,23.63,187.88
DEV_00146,2025-01-01 02:26:00,Wearable,71.79,-42.3,1.83,16.99,0.711,2.64,58,677.38,367.66
DEV_00147,2025-01-01 02:27:00,AutonomousVehicle,58.52,-39.7,1.881,55.09,0.9417,3.67,65,73.62,550.97
DEV_00148,2025-01-01 02:28:00,IndustrialController,94.21,-53.1,6.763,38.11,0.9262,3.67,94,452.11,991.29
DEV_00149,2025-01-01 02:29:00,SmartSensor,68.27,-44.7,4.27,32.06,0.8591,1.77,72,459.31,156.48
DEV_00150,2025-01-01 02:30:00,SmartSensor,16.85,-73.1,10.627,14.54,0.8817,2.38,86,568.28,145.12
DEV_00151,2025-01-01 02:31:00,AutonomousVehicle,15.21,-73.3,2.044,3.07,0.8145,3.68,64,586.5,334.19
DEV_00152,2025-01-01 02:32:00,AutonomousVehicle,46.04,-60.6,3.322,15.08,0.8084,2.77,65,214.79,768.49
DEV_00153,2025-01-01 02:33:00,Wearable,83.08,-69.2,4.993,64.19,0.7949,2.6,78,422.21,238.8
DEV_00154,2025-01-01 02:34:00,SmartSensor,95.45,-54.0,5.894,130.73,0.8469,4.49,63,459.25,389.85
DEV_00155,2025-01-01 02:35:00,SmartSensor,79.44,-37.8,4.522,42.95,0.8721,0.41,60,146.9,974.51
DEV_00156,2025-01-01 02:36:00,IndustrialController,72.06,-56.5,8.353,38.61,0.7445,3.35,68,520.72,44.31
DEV_00157,2025-01-01 02:37:00,Wearable,96.24,-45.8,8.945,36.3,0.8988,2.95,81,850.99,351.6
DEV_00158,2025-01-01 02:38:00,Wearable,20.07,-73.4,3.226,30.11,0.729,2.09,68,135.4,4.02
DEV_00159,2025-01-01 02:39:00,AutonomousVehicle,91.95,-64.1,2.047,38.51,0.7352,3.73,113,922.51,376.14
DEV_00160,2025-01-01 02:40:00,IndustrialController,91.4,-47.3,1.852,31.84,0.8257,0.9,74,675.4,172.77
DEV_00161,2025-01-01 02:41:00,AutonomousVehicle,80.85,-71.3,3.597,80.45,0.8839,3.31,86,40.2,91.58
DEV_00162,2025-01-01 02:42:00,IndustrialController,42.15,-49.7,0.578,84.15,0.8273,0.99,93,526.23,710.21
DEV_00163,2025-01-01 02:43:00,SmartSensor,96.82,-62.7,6.148,1.87,0.7451,1.73,96,347.51,429.72
DEV_00164,2025-01-01 02:44:00,Wearable,90.83,-66.3,3.811,90.15,0.7253,1.09,35,786.66,230.23
DEV_00165,2025-01-01 02:45:00,IndustrialController,44.28,-55.8,2.717,65.39,0.8499,4.5,88,577.69,541.44
DEV_00166,2025-01-01 02:46:00,SmartSensor,98.69,-68.2,5.308,18.91,0.7685,4.33,77,835.56,632.61
DEV_00167,2025-01-01 02:47:00,Wearable,10.37,-43.4,3.261,135.9,0.9288,1.13,73,532.66,900.49
DEV_00168,2025-01-01 02:48:00,SmartSensor,31.51,-60.6,5.28,7.4,0.8625,1.58,88,714.82,286.55
DEV_00169,2025-01-01 02:49:00,SmartSensor,18.02,-56.3,2.136,113.6,0.8637,3.74,93,136.5,71.85
DEV_00170,2025-01-01 02:50:00,IndustrialController,86.85,-66.4,1.096,14.79,0.9341,4.18,62,263.77,824.23
DEV_00171,2025-01-01 02:51:00,AutonomousVehicle,54.21,-68.6,5.308,73.05,0.8157,0.61,85,81.55,481.42
DEV_00172,2025-01-01 02:52:00,AutonomousVehicle,49.85,-62.1,6.482,7.91,0.7538,3.28,77,378.06,183.68
DEV_00173,2025-01-01 02:53:00,SmartSensor,84.64,-51.9,6.398,26.84,0.9375,0.34,57,637.37,701.88
DEV_00174,2025-01-01 02:54:00,SmartSensor,36.88,-51.3,5.692,21.75,0.8312,2.01,89,733.19,553.23
DEV_00175,2025-01-01 02:55:00,Wearable,87.43,-74.3,3.682,110.86,0.7522,3.59,88,638.02,370.61
DEV_00176,2025-01-01 02:56:00,AutonomousVehicle,22.42,-68.5,3.557,186.45,0.9229,2.15,84,279.39,286.93
DEV_00177,2025-01-01 02:57:00,SmartSensor,68.3,-72.3,1.014,13.4,0.7235,2.18,50,455.87,928.36
DEV_00178,2025-01-01 02:58:00,IndustrialController,54.25,-75.7,5.358,11.14,0.8507,1.48,45,41.65,575.61
DEV_00179,2025-01-01 02:59:00,SmartSensor,68.96,-74.3,4.604,25.02,0.8011,3.25,62,318.98,38.34
DEV_00180,2025-01-01 03:00:00,AutonomousVehicle,20.15,-50.0,1.639,14.28,0.9461,1.54,76,766.46,45.24
DEV_00181,2025-01-01 03:01:00,AutonomousVehicle,53.8,-74.0,5.522,9.87,0.7308,2.93,73,630.91,520.48
DEV_00182,2025-01-01 03:02:00,AutonomousVehicle,75.61,-67.3,1.523,72.75,0.7436,1.11,81,963.25,75.84
DEV_00183,2025-01-01 03:03:00,IndustrialController,20.79,-54.8,0.873,23.78,0.8919,4.52,64,709.8,698.58
DEV_00184,2025-01-01 03:04:00,IndustrialController,21.46,-54.1,1.605,28.01,0.8387,2.83,63,40.43,588.75
DEV_00185,2025-01-01 03:05:00,SmartSensor,64.05,-52.3,6.999,47.49,0.879,1.98,85,276.41,64.54
DEV_00186,2025-01-01 03:06:00,Wearable,12.54,-63.6,2.408,1.44,0.8361,2.49,109,508.34,850.19
DEV_00187,2025-01-01 03:07:00,AutonomousVehicle,29.75,-52.4,3.887,3.15,0.8459,3.41,73,419.96,305.83
DEV_00188,2025-01-01 03:08:00,Wearable,89.54,-67.7,3.061,65.38,0.7963,1.73,80,889.7,471.92
DEV_00189,2025-01-01 03:09:00,SmartSensor,38.6,-52.9,7.336,21.09,0.8201,4.63,62,8.95,734.65
DEV_00190,2025-01-01 03:10:00,AutonomousVehicle,74.97,-71.5,1.614,119.31,0.9495,2.55,59,206.86,397.11
DEV_00191,2025-01-01 03:11:00,AutonomousVehicle,91.14,-35.8,5.723,32.08,0.9035,3.56,73,113.41,931.77
DEV_00192,2025-01-01 03:12:00,IndustrialController,20.47,-77.2,9.134,29.07,0.7327,1.57,87,225.8,517.58
DEV_00193,2025-01-01 03:13:00,IndustrialController,59.09,-53.1,11.272,36.61,0.8855,4.64,70,236.72,816.41
DEV_00194,2025-01-01 03:14:00,Wearable,99.34,-53.9,7.113,15.46,0.7493,2.3,88,633.07,981.49
DEV_00195,2025-01-01 03:15:00,SmartSensor,34.04,-75.6,1.573,99.98,0.7781,3.18,70,231.23,572.34
DEV_00196,2025-01-01 03:16:00,SmartSensor,24.89,-42.3,6.103,16.09,0.8483,4.58,75,62.44,136.67
DEV_00197,2025-01-01 03:17:00,IndustrialController,81.26,-81.5,0.721,82.29,0.7237,1.04,47,923.62,194.66
DEV_00198,2025-01-01 03:18:00,AutonomousVehicle,86.08,-72.8,1.536,7.46,0.8046,0.73,75,808.12,433.14
DEV_00199,2025-01-01 03:19:00,SmartSensor,21.69,-63.9,1.177,90.06,0.8715,1.62,67,333.26,195.22
DEV_00200,2025-01-01 03:20:00,AutonomousVehicle,75.44,-50.1,6.582,1.77,0.7305,3.36,61,766.23,591.44
DEV_00201,2025-01-01 03:21:00,SmartSensor,12.45,-32.7,12.844,3.66,0.7531,3.43,76,164.42,357.68
DEV_00202,2025-01-01 03:22:00,Wearable,52.76,-49.9,9.307,19.36,0.8559,3.52,91,582.3,652.81
DEV_00203,2025-01-01 03:23:00,SmartSensor,27.24,-64.8,2.832,13.53,0.7209,0.81,85,78.85,496.05
DEV_00204,2025-01-01 03:24:00,SmartSensor,86.86,-37.5,7.506,44.23,0.815,2.53,79,210.79,754.61
DEV_00205,2025-01-01 03:25:00,Wearable,83.94,-56.6,1.998,89.45,0.8121,4.88,62,909.73,492.5
DEV_00206,2025-01-01 03:26:00,IndustrialController,11.37,-83.4,3.729,79.87,0.9151,1.25,71,839.34,75.23
DEV_00207,2025-01-01 03:27:00,SmartSensor,94.87,-58.5,9.391,12.87,0.7552,1.76,72,366.68,655.05
DEV_00208,2025-01-01 03:28:00,AutonomousVehicle,40.64,-60.6,1.497,44.15,0.7419,2.73,65,557.87,552.28
DEV_00209,2025-01-01 03:29:00,Wearable,62.8,-54.1,7.739,119.73,0.7862,4.59,72,443.25,379.93
DEV_00210,2025-01-01 03:30:00,SmartSensor,21.76,-91.8,2.595,161.07,0.7979,4.94,78,773.93,827.87
DEV_00211,2025-01-01 03:31:00,SmartSensor,63.57,-66.6,2.794,9.91,0.7805,3.04,77,756.73,187.75
DEV_00212,2025-01-01 03:32:00,AutonomousVehicle,45.76,-45.8,2.957,6.01,0.9097,0.26,76,410.97,859.76
DEV_00213,2025-01-01 03:33:00,IndustrialController,86.27,-60.7,4.951,171.15,0.8916,2.96,77,481.48,437.04
DEV_00214,2025-01-01 03:34:00,SmartSensor,56.77,-56.5,0.399,126.25,0.8324,3.12,75,724.42,701.79
DEV_00215,2025-01-01 03:35:00,IndustrialController,32.54,-58.2,5.806,56.75,0.9236,0.88,82,288.87,153.39
DEV_00216,2025-01-01 03:36:00,AutonomousVehicle,45.68,-65.2,0.67,314.16,0.9292,0.58,76,400.32,213.14
DEV_00217,2025-01-01 03:37:00,Wearable,16.68,-50.0,1.947,58.54,0.8805,4.92,69,681.16,276.78
